
version:,0,conv:,52,50,49,dense:,30,32,dropout:,10,11,precision:,3.084547519683838,recall:,0.6716095209121704,accuracy:,0.6577911972999573,f1:,0.6638426780700684
version:,1,conv:,69,70,67,dense:,58,36,dropout:,32,32,precision:,1.0802674293518066,recall:,0.7782732248306274,accuracy:,0.5809379816055298,f1:,0.6641452312469482
version:,2,conv:,85,88,84,dense:,81,38,dropout:,52,51,precision:,0.9026181101799011,recall:,0.7857692241668701,accuracy:,0.6181542873382568,f1:,0.6989409923553467
version:,3,conv:,100,104,96,dense:,97,40,dropout:,67,63,precision:,0.9833725094795227,recall:,0.6947131156921387,accuracy:,0.6520423889160156,f1:,0.6653555035591125
version:,4,conv:,112,110,101,dense:,107,42,dropout:,81,72,precision:,1.0893433094024658,recall:,0.6680864095687866,accuracy:,0.6644477844238281,f1:,0.6659606695175171
version:,5,conv:,122,110,106,dense:,116,41,dropout:,82,75,precision:,1.1367616653442383,recall:,0.6669702529907227,accuracy:,0.6647503972053528,f1:,0.6647503972053528
version:,6,conv:,126,106,99,dense:,115,40,dropout:,81,74,precision:,79.85892486572266,recall:,0.6638426780700684,accuracy:,0.6638426780700684,f1:,0.6638426780700684
version:,7,conv:,127,95,85,dense:,102,39,dropout:,75,65,precision:,1.0258069038391113,recall:,0.7093402743339539,accuracy:,0.6571860909461975,f1:,0.6717095375061035
version:,8,conv:,120,76,71,dense:,79,37,dropout:,58,50,precision:,0.8239930272102356,recall:,0.8242449760437012,accuracy:,0.5945537090301514,f1:,0.7028744220733643
version:,9,conv:,103,54,52,dense:,48,34,dropout:,37,33,precision:,0.9853770732879639,recall:,0.7311791181564331,accuracy:,0.6435703635215759,f1:,0.6720120906829834
